ANOMALY DETECTED: {'src_ip': '192.168.0.1', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 53, 'dst_p': 53592, 'timestamp': '2025-05-11 17:15:28.546715'}
ANOMALY DETECTED: {'src_ip': '66.22.243.133', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 50001, 'dst_p': 51109, 'timestamp': '2025-05-11 17:15:28.734711'}
ANOMALY DETECTED: {'src_ip': '20.189.173.20', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60271, 'timestamp': '2025-05-11 17:15:29.218088'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '20.189.173.20', 'protocol': 'TCP', 'src_p': 60271, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:29.219455'}
ANOMALY DETECTED: {'src_ip': '142.251.39.42', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 443, 'dst_p': 60620, 'timestamp': '2025-05-11 17:15:29.289273'}
ANOMALY DETECTED: {'src_ip': '20.189.173.20', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60271, 'timestamp': '2025-05-11 17:15:29.409810'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '20.189.173.20', 'protocol': 'TCP', 'src_p': 60271, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:29.416079'}
THREAT DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '20.189.173.20', 'protocol': 'TCP', 'src_p': 60271, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:29.416079'}
ANOMALY DETECTED: {'src_ip': '66.22.243.133', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 50001, 'dst_p': 51109, 'timestamp': '2025-05-11 17:15:29.733063'}
ANOMALY DETECTED: {'src_ip': '162.159.133.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60097, 'timestamp': '2025-05-11 17:15:30.275425'}
ANOMALY DETECTED: {'src_ip': '66.22.243.133', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 50001, 'dst_p': 51109, 'timestamp': '2025-05-11 17:15:30.471668'}
ANOMALY DETECTED: {'src_ip': '66.22.243.133', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 50001, 'dst_p': 51109, 'timestamp': '2025-05-11 17:15:30.504728'}
THREAT DETECTED: {'src_ip': '66.22.243.133', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 50001, 'dst_p': 51109, 'timestamp': '2025-05-11 17:15:30.732121'}
ANOMALY DETECTED: {'src_ip': '34.120.52.64', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60262, 'timestamp': '2025-05-11 17:15:31.178075'}
ANOMALY DETECTED: {'src_ip': '192.168.0.1', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 53, 'dst_p': 54850, 'timestamp': '2025-05-11 17:15:31.440637'}
